treatment,outcome,ate,ci_lower,ci_upper,p_value,significant_raw,treated_pct,prop_min,prop_mean,prop_max,q_value,significant_fdr
T_has_promo,Y_mean_ictr,-0.0010170424876712323,-0.002397986934025619,0.00036390195868315394,0.14887764069366716,False,0.5591246028944582,0.00018860522590603872,0.5591457026410855,0.9974901313616239,0.46130310518897794,False
T_has_cta,Y_mean_ictr,0.0008328196310876276,-0.0004551456590916554,0.0021207849212669105,0.20502360230621242,False,0.5333568655135899,0.08843254999670154,0.5333323327649441,0.9697125739569289,0.46130310518897794,False
T_has_price,Y_mean_ictr,-0.0008442889486606675,-0.002750544850791543,0.0010619669534702074,0.385343728785041,False,0.16201906106600777,0.1442990562027884,0.16205834175872308,0.18941048432055635,0.6103757852209382,False
T_early_promo,Y_mean_ictr,0.0005040636778442885,-0.001250443831917916,0.002258571187606493,0.5733661589830557,False,0.30603600423579247,0.005571401397924728,0.30599536653958215,0.9385460546657352,0.7027090646962129,False
T_promo_first_3s,Y_mean_ictr,0.000637448248718896,-0.0008690656972660633,0.0021439621947038547,0.4069171901472921,False,0.2612072008471585,0.002333601805037616,0.26118125706932493,0.9949081416553398,0.6103757852209382,False
T_promo_first_5s,Y_mean_ictr,0.001142905610659031,-0.0003157841472183605,0.002601595368536422,0.12461447548556692,False,0.33780444758206846,0.0017558730495850783,0.3377890246743621,0.9957984783486246,0.46130310518897794,False
T_promo_last_5s,Y_mean_ictr,-0.0006313466314824006,-0.0031603530134765596,0.0018976597505117577,0.624630279729967,False,0.09036357218496294,0.08499397860927763,0.09035890602857942,0.09422438769923062,0.7027090646962129,False
T_cta_early,Y_mean_ictr,0.0009688314267847562,-0.0004291228056870635,0.0023667856592565757,0.17435300003996668,False,0.4144016943169785,0.029486017554776554,0.41441431458312505,0.9815926259106778,0.46130310518897794,False
T_cta_late,Y_mean_ictr,-0.00010863598975993713,-0.002154054207245968,0.0019367822277260936,0.9170905714694726,False,0.11895517119661136,0.11158708418649789,0.11896920978920213,0.12724923941212404,0.9170905714694726,False
