,0
mean_ictr,0.34299571692261804
ictr_std,0.18798572771103852
transcript_duration,0.13987942068155962
n_promo_kw,0.08671757934915239
speech_rate,0.04436953634017266
max_ictr,0.04368791476138274
has_promo,0.04148949913207936
early_mean_ictr,0.02967945304082883
ictr_slope,0.01615166301590222
segment_density,0.01559329246993914
late_early_ratio,0.01187965042779251
late_mean_ictr,0.011183864304174996
n_segments,0.006023223224860829
first_promo_time,0.00570880383829654
duration_sec,0.004990228809905247
n_frames,0.003954123493546106
first_cta_time,0.003379530721016433
n_price_kw,0.0015561064547515257
n_cta_kw,0.000991150173779803
n_product_kw,0.000699308972030432
n_urgency_kw,0.0006607568785427121
has_urgency,0.0004234492766292327
has_cta,0.0
has_price,0.0
